Action Log (Action list),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Module,Sub module,,Module,Action,X-CURRENT-PATH,X-CURRENT-MENU,X-CURRENT-SUB-MENU,X-CURRENT-PAYLOAD,METHOD,Endpoint,,ชื่อเมนูที่ใช้งาน,หัวข้อย่อย,การเข้าถึง,เลขที่เอกสาร
ข่าวสาร,,,,,,,,,,,,,,,
งาน,ประเมินหลักทรัพย์,,,,,,,,,,,,,,
,ติดตามทวงถาม,,,,,,,,,,,,,,
แดชบอร์ด,,,,,,,,,,,,,,,
รายงาน,,,,,,,,,,,,,,,
สัญญา,,,,,,,,,,,,,,,
,,,,แก้ไข,/api/v1/management/pre-contract/request-appraisal/27,CONTRACT,ประเมินหลักทรัพย์ > ขอราคาประเมิน,,PATCH,/api/v1/management/pre-contract/request-appraisal/27,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/pre-contract/appraisal-price/27,CONTRACT,ประเมินหลักทรัพย์ > ประเมินราคาหลักทรัพย์,,PATCH,api/v1/management/pre-contract/appraisal-price/27,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/pre-contract/request-reappraisal/27,CONTRACT,ประเมินหลักทรัพย์ > ขอราคาประเมินใหม่,,PATCH,api/v1/management/pre-contract/request-reappraisal/27,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/pre-contract/confirm-appraisal/27,CONTRACT,ประเมินหลักทรัพย์ > ยืนยันราคาประเมิน,,PATCH,api/v1/management/pre-contract/confirm-appraisal/27,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/pre-contract/confirm-mortgage/27,CONTRACT,ประเมินหลักทรัพย์ > ยื่นจำนอง,,PUT,api/v1/management/pre-contract/confirm-mortgage/27,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/pre-contract/make-contract/27,CONTRACT,ประเมินหลักทรัพย์ > ทำสัญญา,,POST,api/v1/management/pre-contract/make-contract/27,,สัญญา,,ดู,
,,,,ดู,api/v1/management/contract,CONTRACT,สัญญา,,GET,api/v1/management/contract,,สัญญา,,ดู,
,,,,ดูรายละเอียด,api/v1/management/contract/27,CONTRACT,สัญญา,,GET,api/v1/management/contract/27,,สัญญา,,ดู,
,,,,ดู,api/v1/management/contract/23/assets,CONTRACT,สัญญา > หลักทรัพย์,,GET,api/v1/management/contract/23/assets,,สัญญา,,ดู,
,,,,ดู,api/v1/management/contract/23/installments?page=1&limit=10&sortOrder=desc,CONTRACT,สัญญา > ตารางการชำระ,,GET,api/v1/management/contract/23/installments?page=1&limit=10&sortOrder=desc,,สัญญา,,ดู,
,,,,ดู,,CONTRACT,สัญญา > แก้ไขการชำระ,,,,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/invoice/204,CONTRACT,สัญญา > ออกใบแจ้งหนี้,,POST,api/v1/management/invoice/204,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/contract/collection-fee/204,CONTRACT,สัญญา > แก้ไขค่าติดตาม,,PATCH,api/v1/management/contract/collection-fee/204,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/contract/legal-fee/204,CONTRACT,สัญญา > เพิ่มค่าทนาย,,PATCH,api/v1/management/contract/legal-fee/204,,สัญญา,,ดู,
,,,,ดู,api/v1/management/contract-expense/paginate/14,CONTRACT,สัญญา > ค่าใช้จ่าย,,GET,api/v1/management/contract-expense/paginate/14?search=&page=1&limit=10&sortOrder=desc,,สัญญา,,ดู,
,,,,สร้าง,api/v1/management/contract-expense/23,CONTRACT,สัญญา > ค่าใช้จ่าย,,POST,api/v1/management/contract-expense/23,,สัญญา,,ดู,
,,,,ดูรายละเอียด,api/v1/management/contract-expense/8,CONTRACT,สัญญา > ค่าใช้จ่าย,,GET,api/v1/management/contract-expense/8,,สัญญา,,ดู,
